Name, Vorname;"Studien-
gruppe";Praxispartner;Themenvorschlag Bachelor Thesis;"Dozent
1. Gutachten";"Dozent
2. Gutachten";Bemerkung
Lücke, Felix;WI 50/16;zeb;Spring;Prof. Dr. Robert Mertens;Richard Willike;bla
Kupski, Josua;WI 50/16;zeb;Webentwicklung;Prof. Dr. Robert Mertens;Richard Willike;bla
Sommerville, Thomas;IG 09/17;Gießerei AG;Werkstoffe;Richard Willike;Prof. Dr. Robert Mertens;bla
Bommel, Martin;IG 09/17;Semmel;Werkstoffe;Richard Willike;Uwe Swatek;bla
Zufall, Rheiner;IG 07/20;Heckler & Koch;Aerodynamik;Martin Sonneborn;Benjamin Sänger;
Tross, Albert;WI 12/18;Finanzinformtaik;Mathematik;Markus Bittner;Prof. Dr. Robert Mertens;
Nimmdich, Ben;IG 05/17;Rheinmetall;Rein mit dem Metall;Roman Frössl;Prof. Dr. Robert Mertens;
Alles, Erkan;IG 06/11;Thyssenkrupp;Belastbarkeit von Metall;Prof. Dr. Martin Kesting;Prof. Dr. Robert Mertens;
Erei, Kyle;W 01/15;Mauser;Logistik;Prof. Dr. Robert Mertens;Karsten Lillje;
Nass, Anna;W 02/10;Hensoldt;Projektmanagement;Prof. Dr. Katharina Klages;Karsten Lillje;
Middle, Lukas;WI 61/18;Fiducia & GAD IT AG;nichts;Wiebke Maria Kraus;Jonas Stühmann;
Stenk, Ralf;WI 61/19;Fiducia & GAD IT AG;relationale Datenbanken;Prof. Dr. Michael Städler;Ricardo Wehrbein;
Ten, Ben;IG 20/19;Deutsche Post;Supply Chain Management;Markus Bittner;Martin Sonneborn;
Reger, Johannes;WI 58/20;E. ON;Steuern und Recht;Prof. Dr. Robert Mertens;Richard Willike;
Karl, Benedigt;WI 58/19;E. ON;Scrum;Prof. Dr. Robert Mertens;Richard Willike;
Thomsen, Sophia;WI 61/17;Fresenius;Datenbanken;Prof. Dr. Robert Mertens;Richard Willike;
Stein, Tom;W 02/15;Linde;Rechnungswesen;Joans Stühmann;Karsten Lillje;
Schwenk, Alexander;IG 05/16;Dilevery Hero;Antriebstechnik;Uwe Swatek;Benjamin Sänger;
Darwis, Marcel;WI 61/20;RWE;Software Engineering;Prof. Dr. Robert Mertens;Richard Willike;
